date,commodity,state,market,avg_price,min_price,max_price
2026-05-19,turmeric,maharashtra,basmat,11477.0,9705.0,13250
2026-05-19,turmeric,maharashtra,bhokar,11300.0,10500.0,12100
2026-05-19,turmeric,maharashtra,sangli,14000.0,10500.0,18300
2026-05-19,turmeric,maharashtra,vai,15200.0,14000.0,16700
2026-05-19,turmeric,maharashtra,washim,12200.0,11700.0,13000
2026-05-19,turmeric,maharashtra,mumbai,20250.0,16500.0,24000
2026-05-19,turmeric,maharashtra,hingoli,13300.0,12100.0,14500
2026-05-19,onion,maharashtra,pune,,,1400
2026-05-19,onion,maharashtra,nashik,1000.0,1000.0,1000
2026-05-19,onion,maharashtra,nagpur,1300.0,1000.0,1400
2026-05-19,onion,maharashtra,mumbai,1600.0,1200.0,2000
2026-05-19,wheat,maharashtra,akola,2800.0,2000.0,3550
2026-05-19,wheat,maharashtra,barshi,3000.0,3000.0,3000
2026-05-19,wheat,maharashtra,bhandara,2360.0,2260.0,2390
2026-05-19,wheat,maharashtra,jalgaon,2225.0,1700.0,2400
2026-05-19,wheat,maharashtra,latur,2700.0,2330.0,2835
2026-05-19,soyabean,maharashtra,nagpur,6887.0,6400.0,7050
2026-05-19,soyabean,maharashtra,amravati,4868.0,4720.0,5000
2026-05-19,soyabean,maharashtra,nanded,4540.0,4500.0,4545
2026-05-19,soyabean,maharashtra,latur,7400.0,7054.0,7721
2026-05-19,arhar-turred-gram-whole,maharashtra,amravati,8200.0,7300.0,8315
2026-05-19,arhar-turred-gram-whole,maharashtra,baramati,5000.0,5000.0,5000
2026-05-19,arhar-turred-gram-whole,maharashtra,bhokar,6046.0,6000.0,6091
2026-05-19,arhar-turred-gram-whole,maharashtra,bhusaval,7000.0,7000.0,7000
2026-05-19,arhar-turred-gram-whole,maharashtra,bhandara,6000.0,6000.0,6000
2026-05-19,arhar-turred-gram-whole,maharashtra,parbhani,6300.0,6200.0,6400
2026-05-19,arhar-turred-gram-whole,maharashtra,jalna,7690.0,7460.0,8000
2026-05-19,arhar-turred-gram-whole,maharashtra,pusad,5785.0,5690.0,5945
2026-05-19,arhar-turred-gram-whole,maharashtra,wardha,6100.0,6025.0,6200
2026-05-19,arhar-turred-gram-whole,maharashtra,washim,6250.0,6015.0,6641
2026-05-19,arhar-turred-gram-whole,maharashtra,yeotmal,6180.0,6105.0,6255
